Name;Run;Objective;TotalOrders;HandledOrders;RejectedOrders;Runtime;
Randomized insertion;1;7172;184;71;100;2,6236921;
OptimumEstimation;1;9772,000000000002
Randomized insertion;2;6346;191;77;106;3,7219854;
Evolution;1;7725;184;100;27;215,1055622;
ACO;1;7348;184;115;20;217,2459598;
OptimumEstimation;2;9171,375000000002
Randomized insertion;3;7096;194;75;109;4,1400678;
OptimumEstimation;3;10327,000000000002
Randomized insertion;4;6685;180;72;98;4,7966334;
Evolution;2;6877;191;103;36;217,9373975;
ACO;2;7065;191;128;19;230,3619957;
OptimumEstimation;4;9350,857142857143
Randomized insertion;5;6955;186;70;107;5,7014266;
OptimumEstimation;5;9315,173076923078
Randomized insertion;6;6932;161;64;85;5,7354507;
OptimumEstimation;6;8416,25
Evolution;3;7363;194;109;31;237,0838437;
Randomized insertion;7;6604;193;76;107;6,7219848;
ACO;3;7600;194;128;20;228,859892;
OptimumEstimation;7;9557,800000000001
Randomized insertion;8;6507;178;67;106;6,7693192;
Evolution;4;7380;180;103;21;205,6103123;
ACO;4;7273;180;115;15;224,7655889;
OptimumEstimation;8;9517
Randomized insertion;9;7035;187;75;96;8,7341615;
OptimumEstimation;9;10116,000000000002
Randomized insertion;10;6509;168;64;92;8,0482215;
Evolution;5;7201;186;107;17;203,0958108;
OptimumEstimation;10;8756
ACO;5;7318;186;120;11;230,7182135;
Evolution;6;6947;161;93;13;147,8750115;
ACO;6;7029;161;109;5;173,8570109;
Evolution;7;7196;193;112;22;217,0012838;
ACO;7;7279;193;124;18;240,9060689;
Evolution;8;7128;178;97;24;203,4997164;
ACO;8;7414;178;117;13;195,7341301;
Evolution;9;7413;187;102;35;225,2785546;
ACO;9;7519;187;123;24;219,3440441;
Evolution;10;6947;168;101;20;185,5001039;
ACO;10;6904;168;110;17;179,428956;
